Test acc,Training acc,Test time,Training time,Epochs,Training size,Batchsize,Learning rate,Momentum,EpochLrDecrease,Backprop prob,Seed,Hidden Units1
88,97.38904,8.34E-05,0.0115686,10,766,22,0.0058109756,0.58358014,0.8728863,0.87077785,94276,44
90,98.34711,5.06E-05,0.0107996,9,847,28,0.005469527,0.46942285,0.8930167,0.94916224,23923,40
85,95.66787,4.68E-05,0.0093587,10,554,13,0.003434854,0.51715815,0.8508206,0.94485104,82195,34
88,97.423515,4.63E-05,0.0073699,9,621,29,0.0057175136,0.5790551,0.812659,0.9501318,21336,38
87,96.70711,3.67E-05,0.0072025,10,577,27,0.0052989433,0.3587548,0.88338876,0.9384356,43491,33
89,96.266235,3.75E-05,0.0067457,8,616,23,0.0068972134,0.5997594,0.8371137,0.8730639,87053,49
86,94.22604,4.33E-05,0.009676,6,814,15,0.0032060663,0.5792842,0.8071147,0.9716655,47398,48
90,98.23529,5.54E-05,0.0143249,10,680,12,0.0068053184,0.54256463,0.8087006,0.99691784,94549,38
85,97.90576,4.11E-05,0.0056211,9,573,27,0.0058487644,0.38086987,0.8843653,0.8479933,44603,33
90,95.854065,4.16E-05,0.0067168,7,603,25,0.0045854114,0.43607628,0.80265194,0.995046,17633,37
86,97.127464,6.64E-05,0.0090386,8,557,10,0.004177343,0.5994724,0.89726734,0.9393464,48440,31
86,94.244606,5.48E-05,0.006708,6,834,22,0.006494999,0.5067632,0.8372195,0.85367036,43804,41
86,97.24138,6.42E-05,0.0053036,7,580,27,0.006432989,0.5058305,0.8886131,0.87324375,14864,42
88,98.751564,6.16E-05,0.008447,8,801,25,0.0056888103,0.5848159,0.8932045,0.9077221,5111,31
87,97.30061,4.63E-05,0.0099085,10,815,19,0.005691336,0.43430787,0.8622984,0.86259174,69506,35
88,92.487045,4.67E-05,0.006428,6,772,23,0.004769564,0.36153573,0.8054317,0.938983,60928,41
89,96.03053,6.18E-05,0.0068019,8,655,23,0.005862155,0.337045,0.81260467,0.84966797,79062,40
89,95,5.19E-05,0.0127879,8,1000,24,0.003439251,0.5675604,0.8442329,0.93806773,79264,48
86,94.28892,6.02E-05,0.0174126,10,893,14,0.0032506369,0.35579172,0.88323605,0.9466105,15185,48
86,93.452385,6.22E-05,0.0050825,6,504,18,0.0036575377,0.43627462,0.80314106,0.864886,92986,42
84,94.78827,3.81E-05,0.007,7,614,20,0.0036050817,0.56932074,0.83713794,0.8045264,53300,49
87,95.21276,5.8E-05,0.0091125,9,564,28,0.0037694506,0.39318863,0.80201924,0.9568252,21787,46
87,96.43875,5.47E-05,0.0071374,6,702,16,0.0066672303,0.5648047,0.81486416,0.82835484,86608,44
87,96.94376,3.94E-05,0.0126425,7,818,11,0.0054282737,0.48218176,0.8452602,0.9071073,90597,49
87,95.68346,5.13E-05,0.0078859,9,695,24,0.006857265,0.34670654,0.87124467,0.8070844,86953,31
86,98.24869,4.5E-05,0.0061885,9,571,21,0.006110632,0.40995267,0.8163987,0.8215734,93457,36
84,95.5626,6.18E-05,0.0095465,9,631,16,0.0034174544,0.47294864,0.8905754,0.91224706,35414,41
88,95.861145,5.66E-05,0.0145872,10,749,14,0.0038171485,0.3194088,0.8936871,0.96197593,92686,42
89,94.105034,6.64E-05,0.0146745,9,933,20,0.00349568,0.368714,0.8574405,0.94312674,62664,45
84,96.15385,4.15E-05,0.0106932,8,624,11,0.005080183,0.37978962,0.8455832,0.95000273,3286,35
86,95.17647,4.46E-05,0.0071287,6,850,22,0.0050046984,0.54506767,0.8800153,0.810407,87961,38
91,95.35161,5.08E-05,0.0176753,10,839,14,0.0030950916,0.45062593,0.8435748,0.8352102,37696,49
88,96.14605,5.14E-05,0.0105786,6,986,17,0.0061780727,0.3755217,0.8148729,0.93683547,51792,39
85,93.84994,5.14E-05,0.0094527,6,813,16,0.0048058038,0.42934585,0.82689136,0.91810435,76137,48
87,94.49152,5.02E-05,0.0128337,8,708,10,0.004581861,0.38718835,0.8129429,0.85715806,86892,38
91,98.591545,6.36E-05,0.0100807,7,852,25,0.0058311974,0.5158978,0.8293811,0.93585974,17769,43
85,93.69676,4.99E-05,0.007393,8,587,14,0.0042672628,0.32178935,0.8585125,0.877686,55044,34
91,96.22642,4.88E-05,0.0146068,8,954,17,0.0033296333,0.51441306,0.8627441,0.8394846,75779,46
86,95.92357,5.71E-05,0.0095502,9,785,22,0.0057715205,0.31431845,0.84488016,0.87786627,23466,41
90,96.222664,3.57E-05,0.0051187,9,503,27,0.006792974,0.57156885,0.82030183,0.91515315,64762,35
83,97.84736,5.81E-05,0.0096279,8,511,14,0.0065818457,0.4878513,0.8519154,0.99928844,87912,45
85,93.6636,4.33E-05,0.0083935,8,868,30,0.0048746504,0.37963474,0.8516632,0.8071532,49496,40
87,95.574,3.8E-05,0.0048123,6,723,27,0.0068224296,0.5061864,0.8967342,0.8225909,71433,36
89,95.82464,4.65E-05,0.0102045,7,958,28,0.0059397286,0.35432497,0.80239296,0.96490055,93111,39
86,94.68196,6.46E-05,0.0086112,7,959,21,0.0031981145,0.5757805,0.8453599,0.82838327,15991,30
91,98.740814,4.62E-05,0.0090135,9,953,28,0.0067041465,0.52402455,0.8168931,0.9027558,57871,34
91,95.71275,4.41E-05,0.0150477,8,933,13,0.0054142815,0.3736438,0.85101557,0.95450103,53226,42
84,96.01329,3.14E-05,0.0083979,6,903,13,0.0049224915,0.5212277,0.83406335,0.9649294,87240,32
